ID,REGION_PARENT,REGION_CHILD,NX,NY
1,서울특별시,종로구,60,127
2,서울특별시,중구,60,127
3,서울특별시,용산구,60,126
4,서울특별시,성동구,61,127
5,서울특별시,광진구,62,126
6,서울특별시,동대문구,61,127
7,서울특별시,중랑구,62,128
8,서울특별시,성북구,61,127
9,서울특별시,강북구,61,128
10,서울특별시,도봉구,61,129
11,서울특별시,노원구,61,129
12,서울특별시,은평구,59,127
13,서울특별시,서대문구,59,127
14,서울특별시,마포구,59,127
15,서울특별시,양천구,58,126
16,서울특별시,강서구,58,126
17,서울특별시,구로구,58,125
18,서울특별시,금천구,59,124
19,서울특별시,영등포구,58,126
20,서울특별시,동작구,59,125
21,서울특별시,관악구,59,125
22,서울특별시,서초구,61,125
23,서울특별시,강남구,61,126
24,서울특별시,송파구,62,126
25,서울특별시,강동구,62,126
26,부산광역시,서구,97,74
27,부산광역시,동구,98,75
28,부산광역시,영도구,98,74
29,부산광역시,부산진구,97,75
30,부산광역시,동래구,98,76
31,부산광역시,남구,98,75
32,부산광역시,북구,96,76
33,부산광역시,해운대구,99,75
34,부산광역시,사하구,96,74
35,부산광역시,금정구,98,77
36,부산광역시,연제구,98,76
37,부산광역시,수영구,99,75
38,부산광역시,사상구,96,75
39,부산광역시,기장군,100,77
40,대구광역시,수성구,89,90
41,대구광역시,달서구,88,90
42,대구광역시,달성군,86,88
43,인천광역시,미추홀구,54,124
44,인천광역시,연수구,55,123
45,인천광역시,남동구,56,124
46,인천광역시,부평구,55,125
47,인천광역시,계양구,56,126
48,인천광역시,강화군,51,130
49,인천광역시,옹진군,54,124
50,광주광역시,광산구,57,74
51,대전광역시,유성구,67,101
52,대전광역시,대덕구,68,100
53,울산광역시,울주군,101,84
54,세종특별자치시,세종특별자치시,66,103
55,경기도,수원시장안구,60,121
56,경기도,수원시권선구,60,120
57,경기도,수원시팔달구,61,121
58,경기도,수원시영통구,61,120
59,경기도,성남시수정구,63,124
60,경기도,성남시중원구,63,124
61,경기도,성남시분당구,62,123
62,경기도,의정부시,61,130
63,경기도,안양시만안구,59,123
64,경기도,안양시동안구,59,123
65,경기도,부천시,56,125
66,경기도,광명시,58,125
67,경기도,평택시,62,114
68,경기도,동두천시,61,134
69,경기도,안산시상록구,58,121
70,경기도,안산시단원구,57,121
71,경기도,고양시덕양구,57,128
72,경기도,고양시일산동구,56,129
73,경기도,고양시일산서구,56,129
74,경기도,과천시,60,124
75,경기도,구리시,62,127
76,경기도,남양주시,64,128
77,경기도,오산시,62,118
78,경기도,시흥시,57,123
79,경기도,군포시,59,122
80,경기도,의왕시,60,122
81,경기도,하남시,64,126
82,경기도,용인시처인구,64,119
83,경기도,용인시기흥구,62,120
84,경기도,용인시수지구,62,121
85,경기도,파주시,56,131
86,경기도,이천시,68,121
87,경기도,안성시,65,115
88,경기도,김포시,55,128
89,경기도,화성시,57,119
90,경기도,광주시,65,123
91,경기도,양주시,61,131
92,경기도,포천시,64,134
93,경기도,여주시,71,121
94,경기도,연천군,61,138
95,경기도,가평군,69,133
96,경기도,양평군,69,125
97,충청북도,청주시상당구,69,106
98,충청북도,청주시서원구,69,107
99,충청북도,청주시흥덕구,67,106
100,충청북도,청주시청원구,69,107
101,충청북도,충주시,76,114
102,충청북도,제천시,81,118
103,충청북도,보은군,73,103
104,충청북도,옥천군,71,99
105,충청북도,영동군,74,97
106,충청북도,증평군,71,110
107,충청북도,진천군,68,111
108,충청북도,괴산군,74,111
109,충청북도,음성군,72,113
110,충청북도,단양군,84,115
111,충청남도,천안시동남구,63,110
112,충청남도,천안시서북구,63,112
113,충청남도,공주시,63,102
114,충청남도,보령시,54,100
115,충청남도,아산시,60,110
116,충청남도,서산시,51,110
117,충청남도,논산시,62,97
118,충청남도,계룡시,65,99
119,충청남도,당진시,54,112
120,충청남도,금산군,69,95
121,충청남도,부여군,59,99
122,충청남도,서천군,55,94
123,충청남도,청양군,57,103
124,충청남도,홍성군,55,106
125,충청남도,예산군,58,107
126,충청남도,태안군,48,109
127,전라북도,전주시완산구,63,89
128,전라북도,전주시덕진구,63,89
129,전라북도,군산시,56,92
130,전라북도,익산시,60,91
131,전라북도,정읍시,58,83
132,전라북도,남원시,68,80
133,전라북도,김제시,59,88
134,전라북도,완주군,63,89
135,전라북도,진안군,68,88
136,전라북도,무주군,72,93
137,전라북도,장수군,70,85
138,전라북도,임실군,66,84
139,전라북도,순창군,63,79
140,전라북도,고창군,56,80
141,전라북도,부안군,56,87
142,전라남도,목포시,50,67
143,전라남도,여수시,73,66
144,전라남도,순천시,70,70
145,전라남도,나주시,56,71
146,전라남도,광양시,73,70
147,전라남도,담양군,61,78
148,전라남도,곡성군,66,77
149,전라남도,구례군,69,75
150,전라남도,고흥군,66,62
151,전라남도,보성군,62,66
152,전라남도,화순군,61,72
153,전라남도,장흥군,59,64
154,전라남도,강진군,57,63
155,전라남도,해남군,54,61
156,전라남도,영암군,56,66
157,전라남도,무안군,52,71
158,전라남도,함평군,52,72
159,전라남도,영광군,52,77
160,전라남도,장성군,57,77
161,전라남도,완도군,57,56
162,전라남도,진도군,48,59
163,전라남도,신안군,50,66
164,경상북도,포항시남구,102,94
165,경상북도,포항시북구,102,95
166,경상북도,경주시,100,91
167,경상북도,김천시,80,96
168,경상북도,안동시,91,106
169,경상북도,구미시,84,96
170,경상북도,영주시,89,111
171,경상북도,영천시,95,93
172,경상북도,상주시,81,102
173,경상북도,문경시,81,106
174,경상북도,경산시,91,90
175,경상북도,군위군,88,99
176,경상북도,의성군,90,101
177,경상북도,청송군,96,103
178,경상북도,영양군,97,108
179,경상북도,영덕군,102,103
180,경상북도,청도군,91,86
181,경상북도,고령군,83,87
182,경상북도,성주군,83,91
183,경상북도,칠곡군,85,93
184,경상북도,예천군,86,107
185,경상북도,봉화군,90,113
186,경상북도,울진군,102,115
187,경상북도,울릉군,127,127
188,경상남도,창원시의창구,90,77
189,경상남도,창원시성산구,91,76
190,경상남도,창원시마산합포구,89,76
191,경상남도,창원시마산회원구,89,76
192,경상남도,창원시진해구,91,75
193,경상남도,진주시,81,75
194,경상남도,통영시,87,68
195,경상남도,사천시,80,71
196,경상남도,김해시,95,77
197,경상남도,밀양시,92,83
198,경상남도,거제시,90,69
199,경상남도,양산시,97,79
200,경상남도,의령군,83,78
201,경상남도,함안군,86,77
202,경상남도,창녕군,87,83
203,경상남도,고성군,85,71
204,경상남도,남해군,77,68
205,경상남도,하동군,74,73
206,경상남도,산청군,76,80
207,경상남도,함양군,74,82
208,경상남도,거창군,77,86
209,경상남도,합천군,81,84
210,제주특별자치도,제주시,53,38
211,제주특별자치도,서귀포시,52,33
212,강원특별자치도,춘천시,73,134
213,강원특별자치도,원주시,76,122
214,강원특별자치도,강릉시,92,131
215,강원특별자치도,동해시,97,127
216,강원특별자치도,태백시,95,119
217,강원특별자치도,속초시,87,141
218,강원특별자치도,삼척시,98,125
219,강원특별자치도,홍천군,75,130
220,강원특별자치도,횡성군,77,125
221,강원특별자치도,영월군,86,119
222,강원특별자치도,평창군,84,123
223,강원특별자치도,정선군,89,123
224,강원특별자치도,철원군,65,139
225,강원특별자치도,화천군,72,139
226,강원특별자치도,양구군,77,139
227,강원특별자치도,인제군,80,138
228,강원특별자치도,양양군,88,138